Recipe:
1-Pot, 3-Bean Chicken Stew Recipe - Allrecipes.com

Recipe:
Chicken and Dumplings I Recipe - Allrecipes.com
63.02,ounce,chicken
21.01,ounce,flour
0.22,ounce,baking powder
10.5,ounce,chicken broth
5.25,ounce,egg

Recipe:
Chicken and Dumplings II Recipe - Allrecipes.com
39.79,ounce,chicken
14.92,ounce,water
0.31,ounce,chicken bouillon
0.06,ounce,italian seasoning
0.06,ounce,thyme
0.06,ounce,garlic powder
0.06,ounce,sage
0.01,ounce,salt
0.04,ounce,pepper
2.49,ounce,white onion
7.46,ounce,celery
4.97,ounce,carrot
4.97,ounce,potato
1.24,ounce,red bell pepper
1.24,ounce,chopped tomato
6.68,ounce,chicken broth
0.62,ounce,flour
0.06,ounce,salt and pepper
9.95,ounce,buttermilk
0.01,ounce,fresh parsley
4.97,ounce,milk

Recipe:
Chicken and Dumplings II Recipe - Allrecipes.com
48.85,ounce,chicken
0.17,ounce,salt
0.1,ounce,pepper
2.04,ounce,flour
16.28,ounce,biscuit
8.14,ounce,carrot
4.07,ounce,celery
20.35,ounce,potato

Recipe:
Chicken and Dumplings III Recipe - Allrecipes.com
21.32,ounce,cream of chicken
28.75,ounce,chicken broth
15.86,ounce,milk
2.97,ounce,vegetable oil
3.97,ounce,white onion
8.26,ounce,celery
1.98,ounce,chicken breast
0.2,ounce,pepper
15.86,ounce,flour
0.66,ounce,baking powder
0.17,ounce,salt

Recipe:
Chicken and Fresh Tomato Slow Cooker Stew Recipe - Allrecipes.com
21.97,ounce,potato
13.18,ounce,roma tomato
8.79,ounce,carrot
4.39,ounce,white onion
0.27,ounce,bay leaf
13.18,ounce,chicken breast
17.57,ounce,tomato puree
15.93,ounce,chicken broth
0.27,ounce,italian seasoning
0.05,ounce,red pepper
4.39,ounce,water

Recipe:
Chicken and Mushroom Chowder Recipe - Allrecipes.com
28.47,ounce,chicken broth
4.75,ounce,water
18.98,ounce,chicken breast
0.3,ounce,oregano
0.05,ounce,pepper
4.75,ounce,rice
0.59,ounce,olive oil
7.12,ounce,garlic
4.75,ounce,white onion
4.75,ounce,carrot
14.24,ounce,mushroom
1.78,ounce,flour
9.49,ounce,milk

Recipe:
Chicken and Potato Soup Recipe - Allrecipes.com
0.77,ounce,butter
30.94,ounce,chicken breast
3.09,ounce,white onion
18.56,ounce,potato
11.6,ounce,carrot
7.73,ounce,pea
8.51,ounce,fresh corn
6.19,ounce,milk
12.37,ounce,water
0.15,ounce,pepper
0.08,ounce,salt

Recipe:
Chicken and Rice Soup I Recipe - Allrecipes.com
7.28,ounce,celery
7.28,ounce,white onion
9.7,ounce,rice
0.4,ounce,chicken bouillon
24.26,ounce,water
4.85,ounce,butter
2.43,ounce,flour
29.11,ounce,milk
14.56,ounce,chicken
0.12,ounce,pepper

Recipe:
Chicken and Rice Soup II Recipe - Allrecipes.com
4.43,ounce,celery
17.71,ounce,chicken breast
48.15,ounce,chicken broth
4.43,ounce,water
17.71,ounce,mixed vegetables
6.64,ounce,rice
0.55,ounce,fresh parsley
0.37,ounce,italian seasoning

Recipe:
Chicken and Tomato Stew with Arugula and Cannellini Recipe - Allrecipes.com
0.36,ounce,lemon juice
0.91,ounce,vinegar
9.3,ounce,white wine
0.05,ounce,red pepper
0.02,ounce,pepper
0.02,ounce,salt
8.76,ounce,chicken breast
17.52,ounce,fettuccine
2.19,ounce,olive oil
2.19,ounce,garlic
15.87,ounce,diced tomato
16.42,ounce,cannellini bean
4.38,ounce,basil
17.52,ounce,baby arugula
0.11,ounce,salt and pepper
4.38,ounce,cheese

Recipe:
Chicken and Tortellini Stew Recipe - Allrecipes.com
0.54,ounce,cornstarch
0.54,ounce,water
1.08,ounce,vegetable oil
12.9,ounce,chicken breast
8.6,ounce,carrot
8.6,ounce,green bean
6.45,ounce,white onion
51.61,ounce,chicken broth
8.6,ounce,tortellini
1.08,ounce,fresh parsley

Recipe:
Chicken and Two Bean Chili Recipe - Allrecipes.com
7.3,ounce,chicken breast
0.46,ounce,olive oil
1.22,ounce,red onion
5.48,ounce,garlic
13.69,ounce,black bean
13.24,ounce,white bean
26.48,ounce,chile pepper
12.78,ounce,tomato puree
3.65,ounce,chicken broth
3.65,ounce,brown sugar
3.65,ounce,fresh corn
1.83,ounce,white vinegar
1.37,ounce,chili powder
1.37,ounce,cumin
0.91,ounce,coriander
0.09,ounce,salt
0.09,ounce,cayenne pepper
2.74,ounce,red bell pepper

Recipe:
Chicken and Vegetables Soup Recipe - Allrecipes.com
3.58,ounce,white onion
21.49,ounce,chicken
0.07,ounce,salt
1.19,ounce,cauliflower
14.33,ounce,brussels sprouts
7.16,ounce,carrot
14.33,ounce,asparagus
28.66,ounce,chicken broth
0.07,ounce,garlic powder
0.15,ounce,italian seasoning
1.79,ounce,rice
7.16,ounce,dill

Recipe:
Chicken and Wild Rice Soup Recipe - Allrecipes.com
6.28,ounce,chicken
11.17,ounce,chicken breast
33.52,ounce,chicken broth
22.35,ounce,white onion
11.17,ounce,mushroom
2.79,ounce,celery
1.4,ounce,fresh parsley
0.14,ounce,salt and pepper
11.17,ounce,half-and-half

Recipe:
Chicken Andouille Gumbo Recipe - Allrecipes.com
40.95,ounce,water
20.48,ounce,chicken
2.13,ounce,vegetable oil
10.24,ounce,okra
1.71,ounce,flour
6.83,ounce,pork sausage
11.94,ounce,roma tomato
1.71,ounce,red bell pepper
1.71,ounce,celery
1.71,ounce,garlic
0.11,ounce,bay leaf
0.14,ounce,salt
0.07,ounce,thyme
0.07,ounce,basil
0.07,ounce,cayenne pepper
0.07,ounce,pepper
0.07,ounce,file powder

Recipe:
Chicken Borscht Recipe - Allrecipes.com
16.99,ounce,chicken thigh
33.98,ounce,chicken broth
16.99,ounce,potato
8.49,ounce,diced tomato
6.37,ounce,beet
2.12,ounce,carrot
8.49,ounce,cabbage
2.12,ounce,white onion
2.12,ounce,garlic
1.33,ounce,red wine vinegar
0.8,ounce,tomato paste
0.13,ounce,bay leaf
0.05,ounce,pepper

Recipe:
Chicken Broth in a Slow Cooker Recipe - Allrecipes.com
38.28,ounce,chicken
45.93,ounce,water
3.83,ounce,celery
7.66,ounce,carrot
3.83,ounce,white onion
0.48,ounce,basil

Recipe:
Chicken Brunswick Stew Recipe - Allrecipes.com
31.62,ounce,chicken
12.65,ounce,water
0.13,ounce,pepper
0.07,ounce,salt
12.65,ounce,roma tomato
4.74,ounce,white onion
12.65,ounce,lima bean
12.65,ounce,corn kernel
12.65,ounce,okra
0.2,ounce,bay leaf

Recipe:
Chicken Cheese Chowder Recipe - Allrecipes.com
24.65,ounce,chicken broth
9.24,ounce,potato
6.16,ounce,celery
6.16,ounce,carrot
6.16,ounce,white onion
2.05,ounce,butter
2.05,ounce,flour
18.49,ounce,milk
0.39,ounce,soy sauce
12.32,ounce,cheese
12.32,ounce,chicken

Recipe:
Chicken Chilaquiles Recipe - Allrecipes.com
0.55,ounce,vegetable oil
6.62,ounce,white onion
4.41,ounce,garlic
35.29,ounce,tomato puree
8.82,ounce,jalapeno
0.18,ounce,chicken bouillon
35.29,ounce,chicken breast
8.82,ounce,cheese

Recipe:
Chicken Chili Recipe - Allrecipes.com
14.35,ounce,white onion
7.17,ounce,red bell pepper
1.2,ounce,garlic
0.6,ounce,vegetable oil
14.35,ounce,chicken breast
0.6,ounce,chili powder
0.3,ounce,cumin
0.2,ounce,coriander
0.05,ounce,cayenne pepper
0.05,ounce,salt
17.34,ounce,diced tomato
12.56,ounce,chicken broth
9.57,ounce,water
3.59,ounce,tomato paste
0.15,ounce,bay leaf
17.94,ounce,garbanzo bean

Recipe:
Chicken Chili Recipe - Allrecipes.com
2.14,ounce,vegetable oil
5.69,ounce,garlic
5.69,ounce,red bell pepper
5.69,ounce,white onion
2.85,ounce,celery
5.69,ounce,mushroom
22.78,ounce,chicken breast
0.71,ounce,chili powder
0.24,ounce,oregano
0.24,ounce,cumin
0.12,ounce,paprika
0.12,ounce,baking cocoa
0.06,ounce,salt
0.14,ounce,red pepper
0.14,ounce,pepper
20.64,ounce,roma tomato
27.05,ounce,red kidney bean

Recipe:
Chicken Chili I Recipe - Allrecipes.com
11.16,ounce,white kidney bean
40.44,ounce,chicken broth
2.79,ounce,white onion
2.79,ounce,garlic
0.12,ounce,pepper
0.35,ounce,oregano
0.35,ounce,cumin
0.06,ounce,clove
27.89,ounce,chicken
5.58,ounce,chile pepper
5.58,ounce,water
0.12,ounce,salt
2.79,ounce,jalapeno

Recipe:
Chicken Chili II Recipe - Allrecipes.com
14.68,ounce,chicken breast
1.84,ounce,olive oil
3.67,ounce,white onion
5.51,ounce,garlic
3.67,ounce,red bell pepper
0.46,ounce,chili powder
0.15,ounce,cumin
0.15,ounce,oregano
36.71,ounce,chicken broth
27.53,ounce,cannellini bean
3.67,ounce,green chile
1.84,ounce,cornmeal
0.09,ounce,salt and pepper
0.04,ounce,pepper

Recipe:
Chicken Chili Soup Recipe - Allrecipes.com
16.17,ounce,chicken breast
9.24,ounce,red bell pepper
2.31,ounce,white onion
2.31,ounce,corn kernel
34.65,ounce,red kidney bean
16.75,ounce,diced tomato
8.66,ounce,tomato puree
9.24,ounce,water
0.19,ounce,chili powder
0.29,ounce,fresh parsley
0.1,ounce,garlic powder
0.05,ounce,cayenne pepper
0.05,ounce,cumin

Recipe:
Chicken Chili Verde Recipe - Allrecipes.com
1.66,ounce,vegetable oil
6.66,ounce,white onion
6.66,ounce,garlic
26.62,ounce,chicken breast
0.17,ounce,salt and pepper
30.78,ounce,chicken
24.96,ounce,black bean
0.83,ounce,lime juice
1.66,ounce,coriander

Recipe:
Chicken Cilantro Recipe - Allrecipes.com
0.88,ounce,vegetable oil
7.02,ounce,red onion
28.08,ounce,chicken breast
14.04,ounce,coriander
3.51,ounce,garlic
4.68,ounce,water
27.2,ounce,grits
14.04,ounce,rice
0.29,ounce,chicken bouillon
0.18,ounce,salt
0.07,ounce,pepper

Recipe:
Chicken Corn Chowder Recipe - Allrecipes.com
20.09,ounce,celery
20.09,ounce,milk
7.48,ounce,chile sauce
14.95,ounce,fresh corn
14.95,ounce,chicken
7.48,ounce,vegetarian burger
7.48,ounce,cheddar cheese
7.48,ounce,green onion

Recipe:
Chicken Corn Chowder Recipe - Allrecipes.com
9.16,ounce,chicken
0.57,ounce,bay leaf
2.29,ounce,butter
9.16,ounce,white onion
27.47,ounce,shallot
0.76,ounce,chicken bouillon
2.29,ounce,fresh parsley
0.23,ounce,salt and pepper
18.31,ounce,potato
27.47,ounce,corn kernel
2.29,ounce,half-and-half

Recipe:
Chicken Corn Soup I Recipe - Allrecipes.com
27.56,ounce,chicken
1.72,ounce,white onion
55.12,ounce,water
4.31,ounce,fresh corn
1.72,ounce,celery
0.04,ounce,salt and pepper
3.45,ounce,flour
0.04,ounce,salt
5.17,ounce,egg
0.86,ounce,milk

Recipe:
Chicken Dumpling Soup Recipe - Allrecipes.com
21.95,ounce,chicken breast
3.66,ounce,egg
46.64,ounce,chicken broth
5.49,ounce,flour
0.91,ounce,fresh parsley
0.27,ounce,salt
0.01,ounce,pepper
0.04,ounce,tarragon
0.91,ounce,butter
7.32,ounce,white onion
5.49,ounce,celery
1.83,ounce,garlic
5.49,ounce,carrot

Recipe:
Chicken Enchilada Soup I Recipe - Allrecipes.com
14.46,ounce,chicken broth
1.45,ounce,tortilla
26.02,ounce,enchilada sauce
0.24,ounce,cumin
23.13,ounce,chicken breast
11.57,ounce,half-and-half
5.78,ounce,roma tomato
5.78,ounce,jalapeno
11.57,ounce,cheddar cheese

Recipe:
Chicken Enchilada Soup II Recipe - Allrecipes.com
0.45,ounce,vegetable oil
14.43,ounce,chicken breast
3.61,ounce,white onion
1.8,ounce,garlic
28.85,ounce,chicken broth
7.21,ounce,cornmeal
21.64,ounce,water
7.21,ounce,enchilada sauce
14.43,ounce,cheese
0.15,ounce,salt
0.15,ounce,chili powder
0.08,ounce,cumin

Recipe:
Chicken Enchilada Soup III Recipe - Allrecipes.com
14.43,ounce,chicken breast
0.45,ounce,vegetable oil
3.61,ounce,white onion
1.8,ounce,garlic
28.85,ounce,chicken broth
7.21,ounce,cornmeal
21.64,ounce,water
7.21,ounce,enchilada sauce
14.43,ounce,cheddar cheese
0.15,ounce,salt
0.15,ounce,chili powder
0.08,ounce,cumin

Recipe:
Chicken Gumbo Soup Recipe - Allrecipes.com
56.62,ounce,water
0.15,ounce,garlic powder
0.53,ounce,pepper
7.08,ounce,carrot
3.54,ounce,mushroom
8.85,ounce,okra
1.77,ounce,rice
0.15,ounce,chicken breast
10.62,ounce,fettuccine
0.09,ounce,salt
10.62,ounce,green onion

Recipe:
Chicken Jambalaya Recipe - Allrecipes.com
12.96,ounce,white onion
6.48,ounce,garlic
1.62,ounce,butter
12.96,ounce,pork sausage
12.96,ounce,chicken broth
12.96,ounce,diced tomato
6.48,ounce,red bell pepper
0.81,ounce,bay leaf
0.07,ounce,thyme
0.32,ounce,cayenne pepper
6.48,ounce,rice
12.96,ounce,chicken breast
12.96,ounce,shrimp

Recipe:
Chicken Jambalaya I Recipe - Allrecipes.com
1.78,ounce,butter
4.75,ounce,celery
3.56,ounce,white onion
3.56,ounce,red bell pepper
25.84,ounce,diced tomato
21.38,ounce,chicken broth
9.5,ounce,rice
0.3,ounce,thyme
0.15,ounce,garlic
0.22,ounce,pepper
0.45,ounce,bay leaf
28.51,ounce,chicken

Recipe:
Chicken Jambalaya II Recipe - Allrecipes.com
0.49,ounce,vegetable oil
11.82,ounce,white onion
11.82,ounce,red bell pepper
3.94,ounce,water
15.76,ounce,chicken breast
28.57,ounce,roma tomato
3.94,ounce,garlic powder
3.94,ounce,onion powder
3.94,ounce,chili powder
15.76,ounce,rice

Recipe:
Chicken Karhaai Recipe - Allrecipes.com
2.44,ounce,vegetable oil
78.13,ounce,chicken
2.44,ounce,roma tomato
1.83,ounce,ginger
9.77,ounce,chile pepper
0.41,ounce,pepper
0.1,ounce,salt
4.88,ounce,water

Recipe:
Chicken Long Rice Soup Recipe - Allrecipes.com
28.15,ounce,chicken leg
56.3,ounce,chicken broth
0.29,ounce,salt
1.17,ounce,ginger
2.35,ounce,white onion
4.69,ounce,vermicelli
4.69,ounce,green onion
2.35,ounce,bok choy

Recipe:
Chicken Meatball Soup Recipe - Allrecipes.com
15.48,ounce,chicken breast
0.16,ounce,pepper
0.16,ounce,salt
4.84,ounce,bread crumb
3.87,ounce,egg
0.48,ounce,vegetable oil
7.74,ounce,white onion
0.24,ounce,garlic
30.97,ounce,water
0.97,ounce,chicken broth
11.61,ounce,carrot
11.61,ounce,celery
11.61,ounce,parsnip
0.24,ounce,bay leaf

Recipe:
Chicken 'n' Carrot Dumpling Stew Recipe - Allrecipes.com
23.69,ounce,chicken breast
23.69,ounce,chicken broth
11.85,ounce,white onion
8.89,ounce,celery
0.19,ounce,salt
0.3,ounce,thyme
0.3,ounce,pepper
14.07,ounce,flour
4.44,ounce,water
0.49,ounce,baking powder
2.96,ounce,shortening
5.92,ounce,milk
2.96,ounce,carrot
0.25,ounce,fresh parsley

Recipe:
Chicken Noodle and Vegetable Soup Recipe - Allrecipes.com
5.47,ounce,chicken broth
0.91,ounce,onion powder
0.46,ounce,basil
0.23,ounce,garlic powder
49.2,ounce,mixed vegetables
43.74,ounce,egg noodles

Recipe:
Chicken Noodle Soup Recipe - Allrecipes.com
30.15,ounce,chicken
50.26,ounce,water
0.31,ounce,salt
0.21,ounce,chicken bouillon
1.26,ounce,white onion
0.01,ounce,pepper
0.03,ounce,marjoram
0.03,ounce,thyme
0.16,ounce,bay leaf
5.03,ounce,carrot
5.03,ounce,celery
7.54,ounce,spaghetti

Recipe:
Chicken Noodle Soup Recipe - Allrecipes.com
21.0,ounce,chicken
5.25,ounce,celery
1.31,ounce,carrot
1.31,ounce,white onion
1.31,ounce,butter
5.25,ounce,egg noodles
62.99,ounce,water
0.98,ounce,chicken bouillon
0.05,ounce,marjoram
0.05,ounce,pepper
0.16,ounce,bay leaf
0.33,ounce,fresh parsley

Recipe:
Chicken Noodle Soup I Recipe - Allrecipes.com
17.19,ounce,chicken
5.73,ounce,spaghetti
5.73,ounce,garlic
1.43,ounce,white onion
0.07,ounce,salt
68.77,ounce,water
1.07,ounce,olive oil

Recipe:
Chicken Noodle Soup II Recipe - Allrecipes.com
4.68,ounce,egg
1.17,ounce,milk
0.16,ounce,salt
9.36,ounce,flour
37.46,ounce,chicken broth
9.36,ounce,celery
4.68,ounce,white onion
14.05,ounce,carrot
0.2,ounce,garlic
9.36,ounce,chicken
9.36,ounce,corn kernel
0.06,ounce,salt and pepper
0.1,ounce,chicken bouillon

Recipe:
Chicken Noodle Soup III Recipe - Allrecipes.com
25.52,ounce,shallot
1.06,ounce,vegetable oil
3.19,ounce,egg noodles
4.25,ounce,refried bean
51.04,ounce,chicken broth
12.76,ounce,chicken breast
2.13,ounce,green onion
0.05,ounce,salt and pepper

Recipe:
Chicken Pot Pie Soup Recipe - Allrecipes.com
23.02,ounce,chicken breast
23.02,ounce,mixed vegetables
15.47,ounce,potato
15.47,ounce,cream of chicken
23.02,ounce,milk

Recipe:
Chicken Pot Pie Soup with Toasted Almonds Recipe - Allrecipes.com
2.82,ounce,butter
33.86,ounce,chicken breast
30.1,ounce,chicken broth
0.06,ounce,thyme
2.82,ounce,fresh parsley
2.12,ounce,flour
5.64,ounce,mushroom
14.11,ounce,carrot
5.64,ounce,half-and-half
2.82,ounce,almond

Recipe:
Chicken Rice Soup Mix Recipe - Allrecipes.com
34.78,ounce,brown rice
8.7,ounce,chicken bouillon
1.45,ounce,tarragon
1.45,ounce,fresh parsley
0.36,ounce,pepper
52.17,ounce,water
1.09,ounce,butter

Recipe:
Chicken Rotini Soup Recipe - Allrecipes.com
0.16,ounce,chicken bouillon
5.75,ounce,fettuccine
49.86,ounce,chicken broth
15.34,ounce,water
5.75,ounce,celery
1.92,ounce,white onion
7.67,ounce,carrot
11.51,ounce,chicken
1.92,ounce,garlic powder
0.08,ounce,onion powder
0.05,ounce,salt and pepper

Recipe:
Chicken Song Soup Recipe - Allrecipes.com
6.77,ounce,chicken breast
64.35,ounce,water
0.08,ounce,salt and pepper
5.08,ounce,rice
3.39,ounce,garlic
3.39,ounce,white onion
10.16,ounce,carrot
5.08,ounce,celery
0.42,ounce,fresh parsley
0.42,ounce,sage
0.42,ounce,rosemary
0.42,ounce,thyme

Recipe:
Chicken Sotanghon Recipe - Allrecipes.com
18.08,ounce,water
0.19,ounce,salt
18.08,ounce,chicken leg
1.13,ounce,shiitake mushroom
9.04,ounce,cellophane noodles
1.69,ounce,olive oil
4.52,ounce,white onion
4.52,ounce,garlic
0.28,ounce,achiote powder
0.56,ounce,soy sauce
0.11,ounce,salt and pepper
32.76,ounce,chicken broth
9.04,ounce,green onion

Recipe:
Chicken Soup Recipe - Allrecipes.com
11.74,ounce,chicken breast
46.94,ounce,water
23.47,ounce,carrot
11.74,ounce,zucchini
5.87,ounce,garlic
0.24,ounce,chicken broth

Recipe:
Chicken Soup Au Pistou Recipe - Allrecipes.com
0.47,ounce,olive oil
7.51,ounce,chicken breast
3.75,ounce,white onion
40.81,ounce,chicken broth
13.6,ounce,roma tomato
13.14,ounce,white bean
7.51,ounce,carrot
3.75,ounce,potato
0.04,ounce,salt
0.04,ounce,pepper
7.51,ounce,green bean
1.88,ounce,pesto

Recipe:
Chicken Soup Base Recipe - Allrecipes.com
19.69,ounce,chicken
59.08,ounce,water
4.92,ounce,broccoli
4.92,ounce,carrot
4.92,ounce,pea
2.46,ounce,white onion
2.46,ounce,celery
1.23,ounce,chicken bouillon
0.31,ounce,fresh parsley

Recipe:
Chicken Soup I Recipe - Allrecipes.com
60.56,ounce,chicken
5.05,ounce,parsnip
5.05,ounce,turnip
10.09,ounce,carrot
5.05,ounce,celery
5.05,ounce,leek
5.05,ounce,white onion
3.78,ounce,fresh parsley
0.21,ounce,dill
0.13,ounce,salt and pepper

Recipe:
Chicken Soup II Recipe - Allrecipes.com
13.44,ounce,chicken thigh
43.02,ounce,water
0.45,ounce,chicken bouillon
2.69,ounce,white onion
4.03,ounce,garlic
4.03,ounce,celery
16.13,ounce,carrot
1.34,ounce,red bell pepper
6.72,ounce,spinach
2.69,ounce,egg noodles
5.38,ounce,tortellini
0.07,ounce,salt and pepper

Recipe:
Chicken Soup III Recipe - Allrecipes.com
29.9,ounce,chicken
39.86,ounce,water
3.74,ounce,white onion
2.67,ounce,celery
2.8,ounce,fresh parsley
12.51,ounce,pepper
0.62,ounce,chicken bouillon
0.16,ounce,bay leaf
0.06,ounce,thyme
0.21,ounce,salt
4.98,ounce,carrot
2.49,ounce,rice

Recipe:
Chicken Soup with Adzuki Beans, Escarole, and Sweet Potato Recipe - Allrecipes.com
46.6,ounce,chicken broth
15.53,ounce,chicken thigh
7.77,ounce,refried bean
7.77,ounce,rice
7.77,ounce,white onion
0.49,ounce,garlic
0.16,ounce,sage
0.49,ounce,thyme
0.49,ounce,rosemary
3.88,ounce,potato
3.88,ounce,zucchini
3.88,ounce,squash
1.29,ounce,escarole

Recipe:
Chicken Soup with Drop-In Noodles Recipe - Allrecipes.com
11.26,ounce,chicken breast
0.35,ounce,bay leaf
0.23,ounce,fresh parsley
0.06,ounce,tarragon
0.18,ounce,celery salt
5.63,ounce,white onion
5.63,ounce,carrot
40.84,ounce,chicken broth
0.47,ounce,chicken bouillon
0.14,ounce,salt
22.53,ounce,flour
0.7,ounce,cheddar cheese
11.26,ounce,egg
0.7,ounce,milk

Recipe:
Chicken Soup with Stuffed Noodles Recipe - Allrecipes.com
25.57,ounce,chicken
43.95,ounce,water
0.27,ounce,salt
0.02,ounce,pepper
8.52,ounce,carrot
1.6,ounce,celery
2.13,ounce,white onion
5.33,ounce,flour
6.39,ounce,egg
0.09,ounce,vegetable oil
5.33,ounce,bread crumb
0.8,ounce,butter

Recipe:
Chicken Stew 'Fricot' Recipe - Allrecipes.com
0.52,ounce,butter
49.47,ounce,chicken
4.12,ounce,white onion
20.61,ounce,carrot
24.73,ounce,potato
0.34,ounce,savory
0.1,ounce,salt
0.1,ounce,pepper

Recipe:
Chicken Stew With Coconut Milk Recipe - Allrecipes.com
14.02,ounce,chicken breast
3.5,ounce,yellow onion
7.01,ounce,potato
7.01,ounce,carrot
7.88,ounce,lima bean
42.05,ounce,diced tomato
7.01,ounce,coconut milk
7.01,ounce,chicken broth
0.44,ounce,cumin
0.44,ounce,curry powder
0.09,ounce,salt and pepper
0.04,ounce,chile sauce
3.5,ounce,coriander

Recipe:
Chicken Stew with Pepper and Pineapple Recipe - Allrecipes.com
24.0,ounce,chicken breast
48.0,ounce,carrot
6.0,ounce,chicken broth
0.75,ounce,ginger
0.75,ounce,brown sugar
1.5,ounce,soy sauce
0.13,ounce,allspice
0.13,ounce,pepper
0.75,ounce,cornstarch
12.0,ounce,pineapple
6.0,ounce,red bell pepper

Recipe:
Chicken Stock Recipe - Allrecipes.com
44.91,ounce,chicken
39.29,ounce,water
2.81,ounce,white onion
4.21,ounce,celery
8.42,ounce,carrot
0.18,ounce,bay leaf
0.12,ounce,ginger
0.07,ounce,salt

Recipe:
Chicken Stock Gumbo Recipe - Allrecipes.com
6.61,ounce,bacon
3.31,ounce,flour
1.65,ounce,vegetable oil
6.61,ounce,celery
1.65,ounce,red bell pepper
1.65,ounce,garlic
1.65,ounce,fresh parsley
1.65,ounce,white onion
6.61,ounce,pork sausage
26.44,ounce,chicken broth
26.44,ounce,water
5.99,ounce,diced tomato
4.13,ounce,okra
1.65,ounce,worcestershire
0.21,ounce,pepper
0.1,ounce,bay leaf
0.04,ounce,cayenne pepper
3.31,ounce,rice
0.07,ounce,brown sugar
0.21,ounce,lemon juice

Recipe:
Chicken Tagine Recipe - Allrecipes.com
0.99,ounce,olive oil
31.59,ounce,chicken thigh
0.16,ounce,eggplant
7.9,ounce,white onion
15.8,ounce,carrot
3.95,ounce,cranberry
3.95,ounce,apricot
15.8,ounce,chicken broth
0.99,ounce,tomato paste
0.99,ounce,lemon juice
0.99,ounce,flour
0.33,ounce,garlic
0.25,ounce,cumin
0.25,ounce,ginger
0.16,ounce,cinnamon
0.12,ounce,pepper
7.9,ounce,water
7.9,ounce,couscous

Recipe:
Chicken Tagine with Couscous Recipe - Allrecipes.com
38.63,ounce,chicken breast
11.04,ounce,white onion
5.52,ounce,apricot
3.68,ounce,raisin
13.8,ounce,chicken broth
1.38,ounce,tomato paste
1.38,ounce,lemon juice
1.38,ounce,flour
0.34,ounce,ginger
0.34,ounce,cumin
0.23,ounce,cinnamon
0.11,ounce,pepper
0.06,ounce,curry powder
0.03,ounce,cayenne pepper
11.04,ounce,couscous
11.04,ounce,water

Recipe:
Chicken Thigh and Dumpling Stew Recipe - Allrecipes.com
1.08,ounce,butter
23.12,ounce,chicken thigh
5.78,ounce,bacon
2.89,ounce,celery
8.67,ounce,carrot
2.89,ounce,red onion
4.33,ounce,garlic
10.11,ounce,vegetable broth
0.06,ounce,paprika
2.89,ounce,half-and-half
18.78,ounce,cream of chicken
5.78,ounce,water
6.32,ounce,fresh corn
0.07,ounce,pepper
7.22,ounce,buttermilk

Recipe:
Chicken Tinola Recipe - Allrecipes.com
0.47,ounce,vegetable oil
3.73,ounce,white onion
3.73,ounce,garlic
5.6,ounce,ginger
0.47,ounce,soy sauce
44.82,ounce,chicken leg
26.14,ounce,chicken broth
3.73,ounce,chayote
0.09,ounce,salt and pepper
3.73,ounce,bok choy
7.47,ounce,spinach

Recipe:
Chicken Tortellini Soup Recipe - Allrecipes.com
52.71,ounce,chicken broth
12.33,ounce,stewed tomato
8.5,ounce,spinach
1.7,ounce,parmesan cheese
0.07,ounce,salt
0.04,ounce,pepper
7.65,ounce,tortellini
17.0,ounce,chicken

Recipe:
Chicken Tortellini Soup Recipe - Allrecipes.com
52.71,ounce,chicken broth
12.33,ounce,stewed tomato
8.5,ounce,spinach
1.7,ounce,parmesan cheese
0.07,ounce,salt
0.04,ounce,pepper
7.65,ounce,tortellini
17.0,ounce,chicken

Recipe:
Chicken Tortilla Soup Recipe - Allrecipes.com
9.96,ounce,white onion
0.21,ounce,garlic
29.89,ounce,chicken broth
18.06,ounce,diced tomato
0.1,ounce,chili powder
0.05,ounce,cumin
29.89,ounce,chicken breast
1.25,ounce,cornstarch
2.49,ounce,water
2.49,ounce,cheese
0.62,ounce,coriander
4.98,ounce,tortilla chip

Recipe:
Chicken Tortilla Soup I Recipe - Allrecipes.com
3.32,ounce,white onion
4.98,ounce,garlic
0.41,ounce,olive oil
0.28,ounce,chili powder
0.14,ounce,oregano
23.24,ounce,crushed tomato
8.71,ounce,chicken broth
8.3,ounce,water
6.64,ounce,corn kernel
6.64,ounce,grits
3.32,ounce,chile pepper
12.45,ounce,black bean
1.66,ounce,coriander
6.64,ounce,chicken breast
3.32,ounce,tortilla chip
3.32,ounce,avocado
3.32,ounce,monterey
3.32,ounce,green onion

Recipe:
Chicken Tortilla Soup II Recipe - Allrecipes.com
0.96,ounce,vegetable oil
61.15,ounce,tortilla
3.82,ounce,garlic
1.27,ounce,coriander
1.27,ounce,white onion
9.24,ounce,diced tomato
0.32,ounce,cumin
0.16,ounce,chili powder
0.08,ounce,bay leaf
15.29,ounce,chicken broth
0.05,ounce,salt
0.03,ounce,cayenne pepper
6.37,ounce,chicken breast

Recipe:
Chicken Tortilla Soup III Recipe - Allrecipes.com
3.5,ounce,garlic
2.33,ounce,white onion
0.88,ounce,butter
0.58,ounce,flour
24.51,ounce,chicken broth
27.43,ounce,half-and-half
6.27,ounce,cream of chicken
4.67,ounce,salsa
14.01,ounce,chicken breast
0.19,ounce,cumin
